file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp	snr	unintelligible
andrews	3.5	1.3	3.9	2.9	1.2	1.9	1.9	2.3	1	33.63	122
antin	6.9	12.8	9.7	10.7	13.1	6.4	10.9	13.7	8	6.94	37
ashbery1	0.4	1.0	1.5	0.6	0.7	0.8	0.5	1.6	1	20.8	3
ashbery2	0.8	0.8	1.2	0.9	2.3	0.7	1.7	1.8	1	20.02	8
ashbery3	1.6	2.6	3.4	2.3	3.0	1.9	3.5	3.6	2	7.43	11
ashbery4	5.3	7.0	6.4	5.9	12.5	5.7	11.5	10.5	2	21.63	42
ashbery5	0.3	0.9	0.6	1.7	2.8	0.7	1.2	1.3	1	14.83	8
ashbery6	0.0	0.4	1.9	0.1	1.8	0.7	0.5	4.8	1	19.02	1
ashbery7	0.3	0.5	1.2	1.1	0.6	0.6	0.2	0.7	1	-0.31	17
ashbery8	0.4	0.4	1.0	0.9	1.1	0.4	0.3	2.6	1	12.39	5
auster	0.6	0.5	4.1	0.9	0.6	1.8	1.4	2.4	1	18.53	2
beaulieu	2.7	0.9	4.8	1.2	7.2	1.8	4.1	1.0	1	20.06	11
bellamy	1.0	0.8	2.8	0.9	1.8	2.4	3.4	2.7	1	22.67	5
benson1	2.1	2.8	2.6	3.0	5.4	2.0	2.8	3.2	3	19.87	31
benson2	9.8	15.8	17.0	20.5	12.8	9.7	10.6	6.0	9	5.2	55
berkson1	3.6	3.2	4.2	4.0	5.0	3.6	2.4	3.4	2	14.29	23
berkson2	1.2	1.7	2.0	1.0	5.1	1.7	3.2	5.3	1	18.18	9
berrigan	0.8	0.9	2.8	2.0	0.7	1.1	0.4	0.6	5	17.46	30
berssenbrugge1	0.3	1.5	1.2	0.6	1.9	1.3	0.9	1.5	1	10.36	3
berssenbrugge2	0.1	0.3	1.1	0.8	1.4	0.6	0.4	0.7	1	16.03	2
bervin	6.9	6.5	6.6	14.2	7.3	5.2	6.5	7.0	3	-3.93	33
bloch	0.6	1.6	1.7	0.4	2.9	1.5	1.9	3.0	1	14.7	10
bonvicino	16.6	14.4	17.4	14.5	16.8	11.5	14.8	13.8	3	14.58	19
bromige1	0.9	1.4	2.9	2.1	2.1	1.3	1.2	0.9	1	19.3	5
bromige2	0.3	0.6	0.5	0.7	1.4	0.3	0.9	1.1	1	25.3	6
bromige3	6.8	0.6	2.3	1.1	0.7	1.5	0.8	1.7	1	18.58	1
bromige4	0.7	1.0	1.3	0.7	2.2	1.3	1.8	1.4	1	1.23	10
brown	1.0	2.0	1.9	2.8	5.3	1.7	3.7	3.3	1	16.59	11
browne	0.6	0.6	1.2	0.9	2.9	0.9	1.4	1.3	1	7.83	24
clay	8.8	10.2	9.0	9.1	14.9	6.9	9.8	12.6	3	14.08	39
conrad	2.8	2.6	3.5	3.3	4.9	2.8	3.8	3.9	1	17.98	10
coolidge	0.3	0.6	1.5	0.7	1.5	1.1	0.6	1.0	1	18.33	6
corrigan	1.6	1.4	3.0	26.4	3.3	1.3	1.3	1.4	2	2.72	18
darragh	1.2	2.0	3.4	2.6	2.5	1.9	1.9	3.0	2	15.51	14
davies	1.8	1.0	2.3	2.8	1.9	2.3	1.1	6.1	1	15.27	4
dipalma	0.3	1.0	0.6	0.9	0.5	0.7	0.7	2.5	2	6.78	19
donovan	0.2	0.8	1.8	1.1	2.5	1.0	0.5	1.0	2	18.1	6
dorn	0.2	0.5	4.1	0.5	0.1	0.7	0.1	0.6	1	19.38	2
drucker1	1.4	2.3	2.3	2.9	5.5	1.3	4.0	5.0	1	6.85	8
drucker2	0.9	0.7	1.7	0.5	1.1	1.9	1.2	2.0	1	9.04	3
duncan1	3.6	4.6	4.7	3.9	14.8	3.5	5.9	8.0	1	2.74	30
duncan2	5.7	10.6	9.5	9.4	15.1	7.9	14.2	13.4	4	15.76	28
duncan3	6.4	13.0	12.1	19.3	12.5	5.4	7.5	7.8	3	7.51	168
duplessis1	0.1	0.1	0.8	0.3	1.9	0.4	0.7	2.6	1	12.8	2
duplessis2	0.1	0.4	0.6	0.9	0.7	0.4	0.4	0.4	1	9.69	2
duplessis3	1.6	3.0	3.3	2.7	3.6	2.1	2.7	3.6	1	15.17	9
dworkin	2.1	2.0	2.9	1.5	1.5	2.7	3.5	2.6	1	24.61	16
